"Date Printed: Thursday, September 14, 2023 10:43:39 AM"
Title: "Early Non-Primary, Non-Secondary Syphilis | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | American Indian/Alaska Native | Asian | Black/African American | Hispanic/Latino | Multiracial | Native Hawaiian/Other Pacific Islander | Unknown | White | Female | Male | All age groups | All transmission categories""
Footnote(s): 
NA - Not Applicable.



Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"Early Non-Primary, Non-Secondary Syphilis","2018","Mississippi","28","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","530"
"Early Non-Primary, Non-Secondary Syphilis","2018","Mississippi","28","All age groups","Hispanic/Latino","Female","All transmission categories","6","13.8","43,568"
"Early Non-Primary, Non-Secondary Syphilis","2018","Mississippi","28","All age groups","Hispanic/Latino","Male","All transmission categories","14","25.6","54,711"
"Early Non-Primary, Non-Secondary Syphilis","2018","Mississippi","28","All age groups","Black/African American","Female","All transmission categories","230","38.9","591,764"
"Early Non-Primary, Non-Secondary Syphilis","2018","Mississippi","28","All age groups","Black/African American","Male","All transmission categories","506","96.5","524,144"
"Early Non-Primary, Non-Secondary Syphilis","2018","Mississippi","28","All age groups","Asian","Female","All transmission categories","0","0.0","16,718"
"Early Non-Primary, Non-Secondary Syphilis","2018","Mississippi","28","All age groups","Asian","Male","All transmission categories","5","33.7","14,831"
"Early Non-Primary, Non-Secondary Syphilis","2018","Mississippi","28","All age groups","American Indian/Alaska Native","Female","All transmission categories","2","26.0","7,688"
"Early Non-Primary, Non-Secondary Syphilis","2018","Mississippi","28","All age groups","American Indian/Alaska Native","Male","All transmission categories","2","27.9","7,180"
"Early Non-Primary, Non-Secondary Syphilis","2018","Missouri","29","All age groups","Multiracial","Female","All transmission categories","5","7.6","65,558"
"Early Non-Primary, Non-Secondary Syphilis","2018","Missouri","29","All age groups","Multiracial","Male","All transmission categories","8","12.3","64,891"
"Early Non-Primary, Non-Secondary Syphilis","2018","Missouri","29","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Missouri","29","All age groups","Unknown","Male","All transmission categories","3","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Missouri","29","All age groups","White","Female","All transmission categories","73","3.0","2,467,863"
"Early Non-Primary, Non-Secondary Syphilis","2018","Missouri","29","All age groups","White","Male","All transmission categories","215","9.0","2,389,350"
"Early Non-Primary, Non-Secondary Syphilis","2018","Missouri","29","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","1","25.4","3,939"
"Early Non-Primary, Non-Secondary Syphilis","2018","Missouri","29","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","3,940"
"Early Non-Primary, Non-Secondary Syphilis","2018","Missouri","29","All age groups","Hispanic/Latino","Female","All transmission categories","7","5.5","126,938"
"Early Non-Primary, Non-Secondary Syphilis","2018","Missouri","29","All age groups","Hispanic/Latino","Male","All transmission categories","36","26.6","135,445"
"Early Non-Primary, Non-Secondary Syphilis","2018","Missouri","29","All age groups","Black/African American","Female","All transmission categories","40","10.7","372,604"
"Early Non-Primary, Non-Secondary Syphilis","2018","Missouri","29","All age groups","Black/African American","Male","All transmission categories","151","44.7","337,629"
"Early Non-Primary, Non-Secondary Syphilis","2018","Missouri","29","All age groups","Asian","Female","All transmission categories","1","1.5","66,562"
"Early Non-Primary, Non-Secondary Syphilis","2018","Missouri","29","All age groups","Asian","Male","All transmission categories","2","3.3","60,193"
"Early Non-Primary, Non-Secondary Syphilis","2018","Missouri","29","All age groups","American Indian/Alaska Native","Female","All transmission categories","1","7.6","13,238"
"Early Non-Primary, Non-Secondary Syphilis","2018","Missouri","29","All age groups","American Indian/Alaska Native","Male","All transmission categories","3","22.3","13,473"
"Early Non-Primary, Non-Secondary Syphilis","2018","Montana","30","All age groups","Multiracial","Female","All transmission categories","0","0.0","12,934"
"Early Non-Primary, Non-Secondary Syphilis","2018","Montana","30","All age groups","Multiracial","Male","All transmission categories","0","0.0","13,112"
"Early Non-Primary, Non-Secondary Syphilis","2018","Montana","30","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Montana","30","All age groups","Unknown","Male","All transmission categories","1","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Montana","30","All age groups","White","Female","All transmission categories","2","0.4","452,605"
"Early Non-Primary, Non-Secondary Syphilis","2018","Montana","30","All age groups","White","Male","All transmission categories","20","4.4","459,449"
"Early Non-Primary, Non-Secondary Syphilis","2018","Montana","30","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","336"
"Early Non-Primary, Non-Secondary Syphilis","2018","Montana","30","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","408"
"Early Non-Primary, Non-Secondary Syphilis","2018","Montana","30","All age groups","Hispanic/Latino","Female","All transmission categories","0","0.0","20,521"
"Early Non-Primary, Non-Secondary Syphilis","2018","Montana","30","All age groups","Hispanic/Latino","Male","All transmission categories","2","9.2","21,761"
"Early Non-Primary, Non-Secondary Syphilis","2018","Montana","30","All age groups","Black/African American","Female","All transmission categories","0","0.0","2,264"
"Early Non-Primary, Non-Secondary Syphilis","2018","Montana","30","All age groups","Black/African American","Male","All transmission categories","0","0.0","3,369"
"Early Non-Primary, Non-Secondary Syphilis","2018","Montana","30","All age groups","Asian","Female","All transmission categories","0","0.0","5,361"
"Early Non-Primary, Non-Secondary Syphilis","2018","Montana","30","All age groups","Asian","Male","All transmission categories","0","0.0","3,775"
"Early Non-Primary, Non-Secondary Syphilis","2018","Montana","30","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","32,792"
"Early Non-Primary, Non-Secondary Syphilis","2018","Montana","30","All age groups","American Indian/Alaska Native","Male","All transmission categories","0","0.0","31,978"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nebraska","31","All age groups","Multiracial","Female","All transmission categories","0","0.0","18,677"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nebraska","31","All age groups","Multiracial","Male","All transmission categories","0","0.0","17,934"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nebraska","31","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nebraska","31","All age groups","Unknown","Male","All transmission categories","1","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nebraska","31","All age groups","White","Female","All transmission categories","1","0.1","763,339"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nebraska","31","All age groups","White","Male","All transmission categories","18","2.4","750,413"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nebraska","31","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","1","177.3","564"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nebraska","31","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","631"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nebraska","31","All age groups","Hispanic/Latino","Female","All transmission categories","1","1.0","102,541"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nebraska","31","All age groups","Hispanic/Latino","Male","All transmission categories","4","3.6","111,937"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nebraska","31","All age groups","Black/African American","Female","All transmission categories","2","4.4","45,300"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nebraska","31","All age groups","Black/African American","Male","All transmission categories","7","14.5","48,149"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nebraska","31","All age groups","Asian","Female","All transmission categories","0","0.0","25,550"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nebraska","31","All age groups","Asian","Male","All transmission categories","1","4.1","24,391"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nebraska","31","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","8,269"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nebraska","31","All age groups","American Indian/Alaska Native","Male","All transmission categories","1","12.6","7,919"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nevada","32","All age groups","Multiracial","Female","All transmission categories","0","0.0","52,501"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nevada","32","All age groups","Multiracial","Male","All transmission categories","9","17.6","51,054"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nevada","32","All age groups","Unknown","Female","All transmission categories","2","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nevada","32","All age groups","Unknown","Male","All transmission categories","11","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nevada","32","All age groups","White","Female","All transmission categories","25","3.5","724,090"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nevada","32","All age groups","White","Male","All transmission categories","149","19.8","752,349"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nevada","32","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","9,619"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nevada","32","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","1","10.6","9,412"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nevada","32","All age groups","Hispanic/Latino","Female","All transmission categories","15","3.5","432,556"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nevada","32","All age groups","Hispanic/Latino","Male","All transmission categories","142","31.9","444,734"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nevada","32","All age groups","Black/African American","Female","All transmission categories","22","15.7","139,879"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nevada","32","All age groups","Black/African American","Male","All transmission categories","108","78.6","137,479"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nevada","32","All age groups","Asian","Female","All transmission categories","4","2.9","136,687"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nevada","32","All age groups","Asian","Male","All transmission categories","19","17.1","110,825"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nevada","32","All age groups","American Indian/Alaska Native","Female","All transmission categories","1","7.4","13,488"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nevada","32","All age groups","American Indian/Alaska Native","Male","All transmission categories","3","23.7","12,668"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Hampshire","33","All age groups","Multiracial","Female","All transmission categories","0","0.0","10,361"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Hampshire","33","All age groups","Multiracial","Male","All transmission categories","0","0.0","10,630"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Hampshire","33","All age groups","Unknown","Female","All transmission categories","1","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Hampshire","33","All age groups","Unknown","Male","All transmission categories","4","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Hampshire","33","All age groups","White","Female","All transmission categories","1","0.2","616,627"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Hampshire","33","All age groups","White","Male","All transmission categories","26","4.3","601,487"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Hampshire","33","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","190"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Hampshire","33","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","194"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Hampshire","33","All age groups","Hispanic/Latino","Female","All transmission categories","0","0.0","25,337"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Hampshire","33","All age groups","Hispanic/Latino","Male","All transmission categories","4","14.7","27,158"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Hampshire","33","All age groups","Black/African American","Female","All transmission categories","0","0.0","8,412"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Hampshire","33","All age groups","Black/African American","Male","All transmission categories","3","27.6","10,853"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Hampshire","33","All age groups","Asian","Female","All transmission categories","1","4.9","20,376"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Hampshire","33","All age groups","Asian","Male","All transmission categories","1","5.3","18,944"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Hampshire","33","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","1,389"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Hampshire","33","All age groups","American Indian/Alaska Native","Male","All transmission categories","0","0.0","1,507"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Jersey","34","All age groups","Multiracial","Female","All transmission categories","0","0.0","70,136"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Jersey","34","All age groups","Multiracial","Male","All transmission categories","0","0.0","67,552"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Jersey","34","All age groups","Unknown","Female","All transmission categories","12","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Jersey","34","All age groups","Unknown","Male","All transmission categories","48","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Jersey","34","All age groups","White","Female","All transmission categories","30","1.2","2,506,342"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Jersey","34","All age groups","White","Male","All transmission categories","145","6.1","2,388,943"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Jersey","34","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","1,612"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Jersey","34","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","1,494"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Jersey","34","All age groups","Hispanic/Latino","Female","All transmission categories","31","3.4","913,085"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Jersey","34","All age groups","Hispanic/Latino","Male","All transmission categories","239","26.1","915,684"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Jersey","34","All age groups","Black/African American","Female","All transmission categories","55","9.1","605,314"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Jersey","34","All age groups","Black/African American","Male","All transmission categories","204","37.7","541,478"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Jersey","34","All age groups","Asian","Female","All transmission categories","0","0.0","442,283"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Jersey","34","All age groups","Asian","Male","All transmission categories","24","5.7","419,392"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Jersey","34","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","6,566"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Jersey","34","All age groups","American Indian/Alaska Native","Male","All transmission categories","0","0.0","6,144"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Mexico","35","All age groups","Multiracial","Female","All transmission categories","0","0.0","15,552"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Mexico","35","All age groups","Multiracial","Male","All transmission categories","0","0.0","15,887"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Mexico","35","All age groups","Unknown","Female","All transmission categories","4","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Mexico","35","All age groups","Unknown","Male","All transmission categories","12","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Mexico","35","All age groups","White","Female","All transmission categories","3","0.8","392,649"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Mexico","35","All age groups","White","Male","All transmission categories","24","6.2","384,648"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Mexico","35","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","676"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Mexico","35","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","700"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Mexico","35","All age groups","Hispanic/Latino","Female","All transmission categories","9","1.7","517,500"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Mexico","35","All age groups","Hispanic/Latino","Male","All transmission categories","86","16.9","509,608"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Mexico","35","All age groups","Black/African American","Female","All transmission categories","0","0.0","16,692"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Mexico","35","All age groups","Black/African American","Male","All transmission categories","5","22.6","22,148"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Mexico","35","All age groups","Asian","Female","All transmission categories","0","0.0","17,984"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Mexico","35","All age groups","Asian","Male","All transmission categories","0","0.0","14,101"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Mexico","35","All age groups","American Indian/Alaska Native","Female","All transmission categories","5","5.2","96,148"
"Early Non-Primary, Non-Secondary Syphilis","2018","New Mexico","35","All age groups","American Indian/Alaska Native","Male","All transmission categories","13","14.7","88,448"
"Early Non-Primary, Non-Secondary Syphilis","2018","New York","36","All age groups","Multiracial","Female","All transmission categories","22","12.3","179,164"
"Early Non-Primary, Non-Secondary Syphilis","2018","New York","36","All age groups","Multiracial","Male","All transmission categories","559","330.6","169,110"
"Early Non-Primary, Non-Secondary Syphilis","2018","New York","36","All age groups","Unknown","Female","All transmission categories","26","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","New York","36","All age groups","Unknown","Male","All transmission categories","241","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","New York","36","All age groups","White","Female","All transmission categories","44","0.8","5,536,518"
"Early Non-Primary, Non-Secondary Syphilis","2018","New York","36","All age groups","White","Male","All transmission categories","740","13.9","5,310,734"
"Early Non-Primary, Non-Secondary Syphilis","2018","New York","36","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","1","21.6","4,635"
"Early Non-Primary, Non-Secondary Syphilis","2018","New York","36","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","1","23.7","4,212"
"Early Non-Primary, Non-Secondary Syphilis","2018","New York","36","All age groups","Hispanic/Latino","Female","All transmission categories","88","4.6","1,898,569"
"Early Non-Primary, Non-Secondary Syphilis","2018","New York","36","All age groups","Hispanic/Latino","Male","All transmission categories","1,162","63.0","1,844,972"
"Early Non-Primary, Non-Secondary Syphilis","2018","New York","36","All age groups","Black/African American","Female","All transmission categories","112","7.4","1,508,850"
"Early Non-Primary, Non-Secondary Syphilis","2018","New York","36","All age groups","Black/African American","Male","All transmission categories","998","75.8","1,316,882"
"Early Non-Primary, Non-Secondary Syphilis","2018","New York","36","All age groups","Asian","Female","All transmission categories","12","1.3","889,049"
"Early Non-Primary, Non-Secondary Syphilis","2018","New York","36","All age groups","Asian","Male","All transmission categories","88","10.9","810,747"
"Early Non-Primary, Non-Secondary Syphilis","2018","New York","36","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","29,348"
"Early Non-Primary, Non-Secondary Syphilis","2018","New York","36","All age groups","American Indian/Alaska Native","Male","All transmission categories","3","10.9","27,561"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Carolina","37","All age groups","Multiracial","Female","All transmission categories","3","2.9","103,565"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Carolina","37","All age groups","Multiracial","Male","All transmission categories","13","13.3","97,676"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Carolina","37","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Carolina","37","All age groups","Unknown","Male","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Carolina","37","All age groups","White","Female","All transmission categories","28","0.8","3,339,481"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Carolina","37","All age groups","White","Male","All transmission categories","170","5.3","3,191,297"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Carolina","37","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","3,427"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Carolina","37","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","3,409"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Carolina","37","All age groups","Hispanic/Latino","Female","All transmission categories","11","2.3","480,800"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Carolina","37","All age groups","Hispanic/Latino","Male","All transmission categories","56","10.9","513,806"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Carolina","37","All age groups","Black/African American","Female","All transmission categories","105","8.9","1,182,289"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Carolina","37","All age groups","Black/African American","Male","All transmission categories","400","38.6","1,036,728"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Carolina","37","All age groups","Asian","Female","All transmission categories","0","0.0","161,338"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Carolina","37","All age groups","Asian","Male","All transmission categories","5","3.3","151,348"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Carolina","37","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","60,388"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Carolina","37","All age groups","American Indian/Alaska Native","Male","All transmission categories","6","10.7","56,063"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Dakota","38","All age groups","Multiracial","Female","All transmission categories","0","0.0","7,391"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Dakota","38","All age groups","Multiracial","Male","All transmission categories","1","13.0","7,721"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Dakota","38","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Dakota","38","All age groups","Unknown","Male","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Dakota","38","All age groups","White","Female","All transmission categories","3","1.0","312,322"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Dakota","38","All age groups","White","Male","All transmission categories","4","1.2","324,890"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Dakota","38","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","232"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Dakota","38","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","217"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Dakota","38","All age groups","Hispanic/Latino","Female","All transmission categories","0","0.0","13,866"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Dakota","38","All age groups","Hispanic/Latino","Male","All transmission categories","0","0.0","16,059"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Dakota","38","All age groups","Black/African American","Female","All transmission categories","0","0.0","10,229"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Dakota","38","All age groups","Black/African American","Male","All transmission categories","2","14.4","13,857"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Dakota","38","All age groups","Asian","Female","All transmission categories","0","0.0","6,239"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Dakota","38","All age groups","Asian","Male","All transmission categories","1","16.3","6,130"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Dakota","38","All age groups","American Indian/Alaska Native","Female","All transmission categories","2","10.1","19,767"
"Early Non-Primary, Non-Secondary Syphilis","2018","North Dakota","38","All age groups","American Indian/Alaska Native","Male","All transmission categories","0","0.0","19,160"
"Early Non-Primary, Non-Secondary Syphilis","2018","Ohio","39","All age groups","Multiracial","Female","All transmission categories","3","2.4","124,612"
"Early Non-Primary, Non-Secondary Syphilis","2018","Ohio","39","All age groups","Multiracial","Male","All transmission categories","18","14.8","121,768"
"Early Non-Primary, Non-Secondary Syphilis","2018","Ohio","39","All age groups","Unknown","Female","All transmission categories","4","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Ohio","39","All age groups","Unknown","Male","All transmission categories","7","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Ohio","39","All age groups","White","Female","All transmission categories","45","1.0","4,678,916"
"Early Non-Primary, Non-Secondary Syphilis","2018","Ohio","39","All age groups","White","Male","All transmission categories","164","3.6","4,511,394"
"Early Non-Primary, Non-Secondary Syphilis","2018","Ohio","39","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","2,282"
"Early Non-Primary, Non-Secondary Syphilis","2018","Ohio","39","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","2,325"
"Early Non-Primary, Non-Secondary Syphilis","2018","Ohio","39","All age groups","Hispanic/Latino","Female","All transmission categories","2","0.9","223,814"
"Early Non-Primary, Non-Secondary Syphilis","2018","Ohio","39","All age groups","Hispanic/Latino","Male","All transmission categories","27","11.5","235,274"
"Early Non-Primary, Non-Secondary Syphilis","2018","Ohio","39","All age groups","Black/African American","Female","All transmission categories","38","4.9","768,305"
"Early Non-Primary, Non-Secondary Syphilis","2018","Ohio","39","All age groups","Black/African American","Male","All transmission categories","168","23.8","705,140"
"Early Non-Primary, Non-Secondary Syphilis","2018","Ohio","39","All age groups","Asian","Female","All transmission categories","0","0.0","144,607"
"Early Non-Primary, Non-Secondary Syphilis","2018","Ohio","39","All age groups","Asian","Male","All transmission categories","5","3.7","135,123"
"Early Non-Primary, Non-Secondary Syphilis","2018","Ohio","39","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","11,368"
"Early Non-Primary, Non-Secondary Syphilis","2018","Ohio","39","All age groups","American Indian/Alaska Native","Male","All transmission categories","0","0.0","11,413"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oklahoma","40","All age groups","Multiracial","Female","All transmission categories","19","17.0","111,612"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oklahoma","40","All age groups","Multiracial","Male","All transmission categories","15","14.1","106,646"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oklahoma","40","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oklahoma","40","All age groups","Unknown","Male","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oklahoma","40","All age groups","White","Female","All transmission categories","52","4.0","1,307,933"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oklahoma","40","All age groups","White","Male","All transmission categories","115","9.1","1,267,595"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oklahoma","40","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","1","31.8","3,146"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oklahoma","40","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","3,466"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oklahoma","40","All age groups","Hispanic/Latino","Female","All transmission categories","12","5.9","204,869"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oklahoma","40","All age groups","Hispanic/Latino","Male","All transmission categories","31","13.9","223,584"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oklahoma","40","All age groups","Black/African American","Female","All transmission categories","15","10.3","145,740"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oklahoma","40","All age groups","Black/African American","Male","All transmission categories","57","38.9","146,469"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oklahoma","40","All age groups","Asian","Female","All transmission categories","0","0.0","46,922"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oklahoma","40","All age groups","Asian","Male","All transmission categories","3","7.1","42,234"
